"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",51,700,0.33,"TRUE","TRUE","FALSE","20.1032823289127","10.1021169565973","10.0011653723154","12.567","0.526","1.139","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",4.73668915840163e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",52,700,0.33,"TRUE","TRUE","FALSE","20.0989866875649","10.0951364732298","10.003850214335","12.255","0.506","1.158","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.41389997725028e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",53,700,0.33,"TRUE","TRUE","FALSE","20.0899402308412","10.087825133037","10.0021150978042","12.527","0.506","1.121","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",2.98131663606422e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",54,700,0.33,"TRUE","TRUE","FALSE","20.1089357540789","10.1070223202919","10.001913433787","12.649","0.488","1.098","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.34294364654863e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",55,700,0.33,"TRUE","TRUE","FALSE","19.9271408579894","9.92519428966741","10.0019465683219","12.707","0.505","1.13","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.30055787554454e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",56,700,0.33,"TRUE","TRUE","FALSE","20.1060929552642","10.1046215899846","10.0014713652797","13.002","0.514","1.204","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.25316084358322e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",57,700,0.33,"TRUE","TRUE","FALSE","20.0930905310964","10.0912408140491","10.0018497170473","12.534","0.583","1.305","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",4.96296034556844e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",58,700,0.33,"TRUE","TRUE","FALSE","20.1596604668498","10.1579176991628","10.0017427676869","13.93","0.497","1.082","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",4.08917389281409e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",59,700,0.33,"TRUE","TRUE","FALSE","20.0978093246558","10.0947710424667","10.0030382821891","13.228","0.501","1.091","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.05783106391427e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",6,700,0.33,"TRUE","TRUE","FALSE","20.0984208770538","10.0965922573436","10.0018286197101","12.853","0.515","1.099","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",2.28522572996661e-05,TRUE,0,0,0,0,20,0,20,0,1
